C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,T1ax,1000,1,Structure of cave of septum pellucidum,29,99,9393,0.7030646468993791,0.04191432776863833
0.1,1,T1ax,1000,1,Hyperostosis of skull,30,34,9393,0.6894967411048188,0.028860260252413686
0.1,1,T1ax,1000,1,Watershed infarct,31,36,9393,0.8411498224739649,0.021051607613376374
0.1,1,T1ax,1000,1,Foraminal Spinal Stenosis,33,60,9393,0.6943908711025394,0.014736640927103278
0.1,1,T1ax,1000,1,Lipoma of brain,34,22,9393,0.7106159234000446,0.006928316269759096
0.1,1,T1ax,1000,1,Glioma,35,66,9393,0.744802479604667,0.02490481635484851
0.1,1,T1ax,1000,1,Pituitary adenoma,36,25,9393,0.6378608027327071,0.004189443359254708
0.1,1,FLAIRax+FLAIRsag,0011,2,Cerebral infarction,0,424,9393,0.8159138815669066,0.2301984713784655
0.1,1,FLAIRax+FLAIRsag,0011,2,Cerebral hemorrhage,1,294,9393,0.816116071662207,0.19776336918989224
0.1,1,FLAIRax+FLAIRsag,0011,2,Metastatic malignant neoplasm to brain,2,373,9393,0.8983093869447103,0.30210104181961295
0.1,1,FLAIRax+FLAIRsag,0011,2,Intracranial meningioma,3,181,9393,0.7227301406044961,0.07259488371638187
0.1,1,FLAIRax+FLAIRsag,0011,2,Demyelinating disease of central nervous system,4,250,9393,0.791020452805425,0.24959760379426268
0.1,1,FLAIRax+FLAIRsag,0011,2,Herniation of nucleus pulposus,5,138,9393,0.7475966770801525,0.03738994543645884
0.1,1,FLAIRax+FLAIRsag,0011,2,Spinal cord compression,6,74,9393,0.6100715481013796,0.013055485039188611
0.1,1,FLAIRax+FLAIRsag,0011,2,Lacunar infarct,7,213,9393,0.8020732967156606,0.1310599772339005
0.1,1,FLAIRax+FLAIRsag,0011,2,Silent micro-hemorrhage of brain,8,195,9393,0.7116385390357993,0.06457254803348679
0.1,1,FLAIRax+FLAIRsag,0011,2,Cavernous hemangioma,9,78,9393,0.4976106913304981,0.008869573777194422
0.1,1,FLAIRax+FLAIRsag,0011,2,Subdural intracranial hemorrhage,10,44,9393,0.8992478534408153,0.14707903012405055
0.1,1,FLAIRax+FLAIRsag,0011,2,Gliosis,11,3534,9393,0.784340220034033,0.6768647336642045
0.1,1,FLAIRax+FLAIRsag,0011,2,Cerebral atrophy,12,1310,9393,0.923883695211796,0.7337394872255665
0.1,1,FLAIRax+FLAIRsag,0011,2,Encephalomalacia,13,236,9393,0.7783102859163038,0.13262427625467585
0.1,1,FLAIRax+FLAIRsag,0011,2,Arachnoid cyst,14,389,9393,0.7119560686538632,0.10918107003664546
0.1,1,FLAIRax+FLAIRsag,0011,2,Empty sella syndrome,15,351,9393,0.71469420009566,0.0880996305790551
0.1,1,FLAIRax+FLAIRsag,0011,2,Intracranial aneurysm,16,61,9393,0.6656946308489035,0.03337488256121908
0.1,1,FLAIRax+FLAIRsag,0011,2,Chiari malformation,17,56,9393,0.7250971557092366,0.019053042342553207
0.1,1,FLAIRax+FLAIRsag,0011,2,Schwannoma,18,38,9393,0.753104166080621,0.00933088087232464
0.1,1,FLAIRax+FLAIRsag,0011,2,Cyst of pineal gland,19,103,9393,0.6397546166145871,0.024685546614523095
0.1,1,FLAIRax+FLAIRsag,0011,2,Hemangioma of vertebral column,20,31,9393,0.5911233469550896,0.0060763076314866125
0.1,1,FLAIRax+FLAIRsag,0011,2,Cerebral edema,22,533,9393,0.896830200026258,0.520351964657114
0.1,1,FLAIRax+FLAIRsag,0011,2,Spinal stenosis,23,43,9393,0.601164034324089,0.008529836658197508
0.1,1,FLAIRax+FLAIRsag,0011,2,Mastoiditis,24,265,9393,0.719014270831611,0.0823430036954776
0.1,1,FLAIRax+FLAIRsag,0011,2,Chronic mastoiditis,25,211,9393,0.7552067149719056,0.07086441675137631
0.1,1,FLAIRax+FLAIRsag,0011,2,Ventriculomegaly,26,889,9393,0.8988720453922564,0.5725566971840031
0.1,1,FLAIRax+FLAIRsag,0011,2,Cerebellar degeneration,27,351,9393,0.8107076756711793,0.1629192933090367
0.1,1,FLAIRax+FLAIRsag,0011,2,Mega cisterna magna,28,104,9393,0.7465229758937371,0.04266658896423298
0.1,1,FLAIRax+FLAIRsag,0011,2,Structure of cave of septum pellucidum,29,99,9393,0.693650514179888,0.03185200275438908
0.1,1,FLAIRax+FLAIRsag,0011,2,Hyperostosis of skull,30,34,9393,0.6946820613061979,0.026399654276786155
0.1,1,FLAIRax+FLAIRsag,0011,2,Watershed infarct,31,36,9393,0.814244831558073,0.022923427802855806
0.1,1,FLAIRax+FLAIRsag,0011,2,Foraminal Spinal Stenosis,33,60,9393,0.703235829851066,0.014573367321405954
0.1,1,FLAIRax+FLAIRsag,0011,2,Lipoma of brain,34,22,9393,0.5706410492719318,0.0030594940867056273
0.1,1,FLAIRax+FLAIRsag,0011,2,Glioma,35,66,9393,0.7441721817726964,0.03407268888933444
0.1,1,FLAIRax+FLAIRsag,0011,2,Pituitary adenoma,36,25,9393,0.6004526046114432,0.004085413472448463
0.1,1,T2ax+FLAIRsag,0101,2,Cerebral infarction,0,424,9393,0.8175471277376792,0.2152014738606813
0.1,1,T2ax+FLAIRsag,0101,2,Cerebral hemorrhage,1,294,9393,0.8039075834751969,0.17279324669745658
0.1,1,T2ax+FLAIRsag,0101,2,Metastatic malignant neoplasm to brain,2,373,9393,0.8894535824471088,0.26564931319910556
0.1,1,T2ax+FLAIRsag,0101,2,Intracranial meningioma,3,181,9393,0.7216721883298987,0.06614435273324373
0.1,1,T2ax+FLAIRsag,0101,2,Demyelinating disease of central nervous system,4,250,9393,0.8376117248167998,0.23394968301181004
0.1,1,T2ax+FLAIRsag,0101,2,Herniation of nucleus pulposus,5,138,9393,0.7354097667535762,0.03285515801706815
0.1,1,T2ax+FLAIRsag,0101,2,Spinal cord compression,6,74,9393,0.576210183786104,0.010316292225110085
0.1,1,T2ax+FLAIRsag,0101,2,Lacunar infarct,7,213,9393,0.8099864985117677,0.14032042144891899
0.1,1,T2ax+FLAIRsag,0101,2,Silent micro-hemorrhage of brain,8,195,9393,0.7320799950936936,0.05990651447270805
0.1,1,T2ax+FLAIRsag,0101,2,Cavernous hemangioma,9,78,9393,0.5089888104380859,0.008883341216612762
0.1,1,T2ax+FLAIRsag,0101,2,Subdural intracranial hemorrhage,10,44,9393,0.8655009286360233,0.08552191204351242
0.1,1,T2ax+FLAIRsag,0101,2,Gliosis,11,3534,9393,0.7788524090895524,0.6782644465801059
0.1,1,T2ax+FLAIRsag,0101,2,Cerebral atrophy,12,1310,9393,0.9225383025159768,0.7303012413167768
0.1,1,T2ax+FLAIRsag,0101,2,Encephalomalacia,13,236,9393,0.7636202183010867,0.11905748105796701
0.1,1,T2ax+FLAIRsag,0101,2,Arachnoid cyst,14,389,9393,0.7340722032709827,0.12941985356914387
0.1,1,T2ax+FLAIRsag,0101,2,Empty sella syndrome,15,351,9393,0.7286641447225388,0.09638904479110008
0.1,1,T2ax+FLAIRsag,0101,2,Intracranial aneurysm,16,61,9393,0.689004166871614,0.014706267320894858
0.1,1,T2ax+FLAIRsag,0101,2,Chiari malformation,17,56,9393,0.7578260071298522,0.02478806913006564
0.1,1,T2ax+FLAIRsag,0101,2,Schwannoma,18,38,9393,0.7396607499507721,0.009706537197527834
0.1,1,T2ax+FLAIRsag,0101,2,Cyst of pineal gland,19,103,9393,0.6218326418426746,0.01819790603503561
0.1,1,T2ax+FLAIRsag,0101,2,Hemangioma of vertebral column,20,31,9393,0.5679479846462364,0.005576462155227598
0.1,1,T2ax+FLAIRsag,0101,2,Cerebral edema,22,533,9393,0.8881748186295894,0.4831868274052278
0.1,1,T2ax+FLAIRsag,0101,2,Spinal stenosis,23,43,9393,0.6056037806243005,0.010354426025832997
0.1,1,T2ax+FLAIRsag,0101,2,Mastoiditis,24,265,9393,0.7281497527822335,0.0945097860075601
0.1,1,T2ax+FLAIRsag,0101,2,Chronic mastoiditis,25,211,9393,0.7690045741668483,0.08921368962194952
0.1,1,T2ax+FLAIRsag,0101,2,Ventriculomegaly,26,889,9393,0.8951146658172902,0.5670351879208122
0.1,1,T2ax+FLAIRsag,0101,2,Cerebellar degeneration,27,351,9393,0.8197941105483685,0.1682798906332056
0.1,1,T2ax+FLAIRsag,0101,2,Mega cisterna magna,28,104,9393,0.7313416613529651,0.03510358356072143
0.1,1,T2ax+FLAIRsag,0101,2,Structure of cave of septum pellucidum,29,99,9393,0.6836647081966643,0.028000085213114315
0.1,1,T2ax+FLAIRsag,0101,2,Hyperostosis of skull,30,34,9393,0.7487602370791249,0.02563038988226329
0.1,1,T2ax+FLAIRsag,0101,2,Watershed infarct,31,36,9393,0.8836699796943465,0.031860980419702346
0.1,1,T2ax+FLAIRsag,0101,2,Foraminal Spinal Stenosis,33,60,9393,0.6671898996392728,0.010517518707930872
0.1,1,T2ax+FLAIRsag,0101,2,Lipoma of brain,34,22,9393,0.4790068004772946,0.004813076069278852
0.1,1,T2ax+FLAIRsag,0101,2,Glioma,35,66,9393,0.7434622844722556,0.03830785213112933
0.1,1,T2ax+FLAIRsag,0101,2,Pituitary adenoma,36,25,9393,0.49129803586678056,0.008059259654870761
0.1,1,T2ax+FLAIRax,0110,2,Cerebral infarction,0,424,9393,0.8202098633237755,0.22923864265832802
0.1,1,T2ax+FLAIRax,0110,2,Cerebral hemorrhage,1,294,9393,0.8191155789714502,0.19946176914579827
0.1,1,T2ax+FLAIRax,0110,2,Metastatic malignant neoplasm to brain,2,373,9393,0.8689340934354992,0.25203876950492204
0.1,1,T2ax+FLAIRax,0110,2,Intracranial meningioma,3,181,9393,0.7097420371698697,0.06395797490490102
0.1,1,T2ax+FLAIRax,0110,2,Demyelinating disease of central nervous system,4,250,9393,0.8471560756863175,0.303100220719659
0.1,1,T2ax+FLAIRax,0110,2,Herniation of nucleus pulposus,5,138,9393,0.6965604177921844,0.03134347205012806
0.1,1,T2ax+FLAIRax,0110,2,Spinal cord compression,6,74,9393,0.5690691496303687,0.009934971468242718
0.1,1,T2ax+FLAIRax,0110,2,Lacunar infarct,7,213,9393,0.8098269354690234,0.1421289967145415
0.1,1,T2ax+FLAIRax,0110,2,Silent micro-hemorrhage of brain,8,195,9393,0.7251587580354704,0.06383782512676954
0.1,1,T2ax+FLAIRax,0110,2,Cavernous hemangioma,9,78,9393,0.4873831840015415,0.008028532815146363
0.1,1,T2ax+FLAIRax,0110,2,Subdural intracranial hemorrhage,10,44,9393,0.8110882058363073,0.11229523531943211
0.1,1,T2ax+FLAIRax,0110,2,Gliosis,11,3534,9393,0.7869545235501751,0.690935894824763
0.1,1,T2ax+FLAIRax,0110,2,Cerebral atrophy,12,1310,9393,0.9220052829753898,0.7243386537167987
0.1,1,T2ax+FLAIRax,0110,2,Encephalomalacia,13,236,9393,0.7436285660872575,0.1133999539971421
0.1,1,T2ax+FLAIRax,0110,2,Arachnoid cyst,14,389,9393,0.7260820383742617,0.137900497014018
0.1,1,T2ax+FLAIRax,0110,2,Empty sella syndrome,15,351,9393,0.7181248507282569,0.08804066859982336
0.1,1,T2ax+FLAIRax,0110,2,Intracranial aneurysm,16,61,9393,0.6978245135721965,0.022361195643528353
0.1,1,T2ax+FLAIRax,0110,2,Chiari malformation,17,56,9393,0.777574626294772,0.026782696315058946
0.1,1,T2ax+FLAIRax,0110,2,Schwannoma,18,38,9393,0.73596444344426,0.010893667898328581
0.1,1,T2ax+FLAIRax,0110,2,Cyst of pineal gland,19,103,9393,0.6482866011056883,0.020442497173514165
0.1,1,T2ax+FLAIRax,0110,2,Hemangioma of vertebral column,20,31,9393,0.6127998566614522,0.005747497448848859
0.1,1,T2ax+FLAIRax,0110,2,Cerebral edema,22,533,9393,0.8986278105531533,0.4939746459807894
0.1,1,T2ax+FLAIRax,0110,2,Spinal stenosis,23,43,9393,0.5898146996642208,0.007335269316969751
0.1,1,T2ax+FLAIRax,0110,2,Mastoiditis,24,265,9393,0.7614468440461033,0.1004111775651425
0.1,1,T2ax+FLAIRax,0110,2,Chronic mastoiditis,25,211,9393,0.7815523056133936,0.06899175286997024
0.1,1,T2ax+FLAIRax,0110,2,Ventriculomegaly,26,889,9393,0.899498760326643,0.557741260668984
0.1,1,T2ax+FLAIRax,0110,2,Cerebellar degeneration,27,351,9393,0.8191985990039518,0.17668078432920528
0.1,1,T2ax+FLAIRax,0110,2,Mega cisterna magna,28,104,9393,0.747923515821029,0.05496948325711315
0.1,1,T2ax+FLAIRax,0110,2,Structure of cave of septum pellucidum,29,99,9393,0.7276009503252886,0.0443765345633037
0.1,1,T2ax+FLAIRax,0110,2,Hyperostosis of skull,30,34,9393,0.7218091425051696,0.06871899300830052
0.1,1,T2ax+FLAIRax,0110,2,Watershed infarct,31,36,9393,0.8211558785460678,0.021340638977867872
0.1,1,T2ax+FLAIRax,0110,2,Foraminal Spinal Stenosis,33,60,9393,0.6294439087110253,0.009090251366005848
0.1,1,T2ax+FLAIRax,0110,2,Lipoma of brain,34,22,9393,0.5077026804163716,0.002624187854748478
0.1,1,T2ax+FLAIRax,0110,2,Glioma,35,66,9393,0.771664863495034,0.03477046382998672
