target_kind,seed,target,k,subset,n_pos,auroc
burden_perfold,1,NETC,3,T1c+T2w+T2f,681,0.8210226401034475
burden_perfold,1,ET,3,T1n+T2w+T2f,677,0.8418029445669277
burden_perfold,1,SNFH,3,T1n+T2w+T2f,683,0.8772257826952244
burden_perfold,1,NETC,3,T1n+T2w+T2f,681,0.7976461305805773
burden_perfold,1,ET,3,T1n+T1c+T2f,677,0.8708475601470969
burden_perfold,1,SNFH,3,T1n+T1c+T2f,683,0.8607740594944809
burden_perfold,1,NETC,3,T1n+T1c+T2f,681,0.8210094899949592
burden_perfold,1,ET,3,T1n+T1c+T2w,677,0.8847178817351817
burden_perfold,1,SNFH,3,T1n+T1c+T2w,683,0.8585537563233707
burden_perfold,1,NETC,3,T1n+T1c+T2w,681,0.8289850307931708
burden_perfold,1,ET,4,T1n+T1c+T2w+T2f,677,0.8733897584473306
burden_perfold,1,SNFH,4,T1n+T1c+T2w+T2f,683,0.868195526954875
burden_perfold,1,NETC,4,T1n+T1c+T2w+T2f,681,0.8223047756810661
burden_perfold,2,ET,1,T2f,674,0.816510263029862
burden_perfold,2,SNFH,1,T2f,676,0.8989086127547665
burden_perfold,2,NETC,1,T2f,675,0.7880363795748411
burden_perfold,2,ET,1,T2w,674,0.8353817023085789
burden_perfold,2,SNFH,1,T2w,676,0.8833179925487616
burden_perfold,2,NETC,1,T2w,675,0.8092066622835854
burden_perfold,2,ET,1,T1c,674,0.915449991014644
burden_perfold,2,SNFH,1,T1c,676,0.8586763094455403
burden_perfold,2,NETC,1,T1c,675,0.8414529914529914
burden_perfold,2,ET,1,T1n,674,0.8147570228228045
burden_perfold,2,SNFH,1,T1n,676,0.8333355248739864
burden_perfold,2,NETC,1,T1n,675,0.775150120534736
burden_perfold,2,ET,2,T2w+T2f,674,0.8351318655790733
burden_perfold,2,SNFH,2,T2w+T2f,676,0.9038571115494193
burden_perfold,2,NETC,2,T2w+T2f,675,0.8086215209292134
burden_perfold,2,ET,2,T1c+T2f,674,0.8889147004808261
burden_perfold,2,SNFH,2,T1c+T2f,676,0.8870721016874862
burden_perfold,2,NETC,2,T1c+T2f,675,0.8201621740083278
burden_perfold,2,ET,2,T1c+T2w,674,0.8998461531718307
burden_perfold,2,SNFH,2,T1c+T2w,676,0.8682774490466799
burden_perfold,2,NETC,2,T1c+T2w,675,0.8343151435459127
burden_perfold,2,ET,2,T1n+T2f,674,0.8295499870698535
burden_perfold,2,SNFH,2,T1n+T2f,676,0.8780648696033311
burden_perfold,2,NETC,2,T1n+T2f,675,0.7835481043173351
burden_perfold,2,ET,2,T1n+T2w,674,0.837367246843072
burden_perfold,2,SNFH,2,T1n+T2w,676,0.8681854043392505
burden_perfold,2,NETC,2,T1n+T2w,675,0.8033574402805173
burden_perfold,2,ET,2,T1n+T1c,674,0.8918557609281653
burden_perfold,2,SNFH,2,T1n+T1c,676,0.857753670830594
burden_perfold,2,NETC,2,T1n+T1c,675,0.8173701512163051
burden_perfold,2,ET,3,T1c+T2w+T2f,674,0.884715690184923
burden_perfold,2,SNFH,3,T1c+T2w+T2f,676,0.8914924391847469
burden_perfold,2,NETC,3,T1c+T2w+T2f,675,0.8272101687486302
burden_perfold,2,ET,3,T1n+T2w+T2f,674,0.8415596824881986
burden_perfold,2,SNFH,3,T1n+T2w+T2f,676,0.8904142011834318
burden_perfold,2,NETC,3,T1n+T2w+T2f,675,0.8017137847907079
burden_perfold,2,ET,3,T1n+T1c+T2f,674,0.8773170165111397
burden_perfold,2,SNFH,3,T1n+T1c+T2f,676,0.8759105851413543
burden_perfold,2,NETC,3,T1n+T1c+T2f,675,0.8150317773394695
burden_perfold,2,ET,3,T1n+T1c+T2w,674,0.8869357305971097
burden_perfold,2,SNFH,3,T1n+T1c+T2w,676,0.8692154284461976
burden_perfold,2,NETC,3,T1n+T1c+T2w,675,0.8205632259478413
burden_perfold,2,ET,4,T1n+T1c+T2w+T2f,674,0.8787327579783388
burden_perfold,2,SNFH,4,T1n+T1c+T2w+T2f,676,0.8845101906640369
burden_perfold,2,NETC,4,T1n+T1c+T2w+T2f,675,0.8213214990138067
