C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,T1ax+T2ax+T2cor,1101,3,Hyperostosis of skull,30,55,12412,0.9303979341852612,0.17786281369172274
0.1,1,T1ax+T2ax+T2cor,1101,3,Choroid plexus cyst,32,57,12412,0.6200501253132831,0.008203066933433761
0.1,1,T1ax+T2ax+T2cor,1101,3,Lipoma of brain,34,34,12412,0.6225561480045241,0.004063708293156705
0.1,1,T1ax+T2ax+T2cor,1101,3,Glioma,35,35,12412,0.7852883805214742,0.03847128407163657
0.1,1,T1ax+T2ax+T2cor,1101,3,Pituitary adenoma,36,57,12412,0.703942575986709,0.015204471286850716
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cerebral infarction,0,339,12412,0.8433880716301301,0.1930105759865179
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cerebral hemorrhage,1,92,12412,0.7464426877470355,0.07258379280196199
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Metastatic malignant neoplasm to brain,2,50,12412,0.8169810710241061,0.041828906320928616
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Intracranial meningioma,3,148,12412,0.6940721910756158,0.02902818537322487
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Demyelinating disease of central nervous system,4,294,12412,0.8180384383494279,0.25821195334902053
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Herniation of nucleus pulposus,5,29,12412,0.6888114127544158,0.0070227740540516285
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Spinal cord compression,6,22,12412,0.5623193190989801,0.0058738300730579625
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Lacunar infarct,7,189,12412,0.8711709687738485,0.13401040495474273
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Silent micro-hemorrhage of brain,8,78,12412,0.8543633816051523,0.06912350317387925
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cavernous hemangioma,9,67,12412,0.6528330401455661,0.012383462500025309
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Subdural intracranial hemorrhage,10,26,12412,0.7560738550969457,0.13114575294468447
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Gliosis,11,3854,12412,0.804031873599031,0.6521428082458232
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cerebral atrophy,12,2012,12412,0.950004062165469,0.8182044951652748
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Encephalomalacia,13,248,12412,0.8079526047246767,0.16665495147816578
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Arachnoid cyst,14,572,12412,0.6954851841570592,0.12282492577918465
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Empty sella syndrome,15,670,12412,0.7859621158387927,0.16728984983282974
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Intracranial aneurysm,16,32,12412,0.6389514337641358,0.005181381238953267
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Chiari malformation,17,62,12412,0.8436371947237822,0.0404142669395785
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cyst of pineal gland,19,244,12412,0.694002880438883,0.04366332354180465
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Rathke's pouch cyst,21,47,12412,0.7858815634383254,0.01187773985281245
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cerebral edema,22,187,12412,0.8518250713559268,0.34462478438474975
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Spinal stenosis,23,26,12412,0.7819777913028357,0.007536270976021358
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Mastoiditis,24,281,12412,0.7487528642685088,0.07406290562236839
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Chronic mastoiditis,25,360,12412,0.7676529022384482,0.1050319385583719
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Ventriculomegaly,26,1204,12412,0.9206915118768986,0.6407151841339465
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Cerebellar degeneration,27,318,12412,0.857085690393802,0.1861696092337777
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Mega cisterna magna,28,225,12412,0.8167920279350491,0.11289596872816328
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Structure of cave of septum pellucidum,29,238,12412,0.7274978498052745,0.07481321803967297
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Hyperostosis of skull,30,55,12412,0.9176469722718812,0.14318897114200008
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Choroid plexus cyst,32,57,12412,0.6299303499542055,0.01246118501897525
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Lipoma of brain,34,34,12412,0.6736667522074269,0.0045424265163084435
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Glioma,35,35,12412,0.8131603550364155,0.03159947888589504
0.1,1,T1ax+T2ax+FLAIRax,1110,3,Pituitary adenoma,36,57,12412,0.6876411993155693,0.011503875652422117
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cerebral infarction,0,339,12412,0.8482708557357687,0.19342376103886122
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cerebral hemorrhage,1,92,12412,0.7322954898362507,0.06909675447043434
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Metastatic malignant neoplasm to brain,2,50,12412,0.8100889823653131,0.053302392324390435
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Intracranial meningioma,3,148,12412,0.6886729562243261,0.029608612722957797
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Demyelinating disease of central nervous system,4,294,12412,0.8124322843512715,0.2872432125053684
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Herniation of nucleus pulposus,5,29,12412,0.6541727117544353,0.004975522645354287
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Spinal cord compression,6,22,12412,0.5749174554259301,0.004190399935152802
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Lacunar infarct,7,189,12412,0.8589838655289037,0.1399864970849134
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Silent micro-hemorrhage of brain,8,78,12412,0.8633868023765867,0.0950740230033553
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cavernous hemangioma,9,67,12412,0.5997860031555466,0.008975525214163851
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Subdural intracranial hemorrhage,10,26,12412,0.7429107304773379,0.12614149512665143
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Gliosis,11,3854,12412,0.8064537010075515,0.6531281761789758
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cerebral atrophy,12,2012,12412,0.9506408902355099,0.8200363096143104
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Encephalomalacia,13,248,12412,0.8084952556989954,0.16806348445447947
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Arachnoid cyst,14,572,12412,0.7045977249102249,0.14363858614597502
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Empty sella syndrome,15,670,12412,0.7753428819113426,0.16803437618539258
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Intracranial aneurysm,16,32,12412,0.5974808158319871,0.004827830351547713
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Chiari malformation,17,62,12412,0.8438500718296984,0.0449330583611068
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cyst of pineal gland,19,244,12412,0.7093942994794191,0.045417320467391956
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Rathke's pouch cyst,21,47,12412,0.7497483459662224,0.01036682145639127
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cerebral edema,22,187,12412,0.8518390691469003,0.3604561833152955
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Spinal stenosis,23,26,12412,0.7344303121390154,0.005782063065915889
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Mastoiditis,24,281,12412,0.766606303488225,0.08589287437197218
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Chronic mastoiditis,25,360,12412,0.7824630305712285,0.10655724684035793
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Ventriculomegaly,26,1204,12412,0.9218864491665896,0.6462874318975055
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Cerebellar degeneration,27,318,12412,0.8469249786525466,0.17330383898179402
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Mega cisterna magna,28,225,12412,0.8236448674817427,0.1267689618135817
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Structure of cave of septum pellucidum,29,238,12412,0.7247333137296319,0.09761679519476063
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Hyperostosis of skull,30,55,12412,0.922262685117747,0.1751751550306481
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Choroid plexus cyst,32,57,12412,0.615882482409991,0.00911282054845981
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Lipoma of brain,34,34,12412,0.6309035005179968,0.004062507328904326
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Glioma,35,35,12412,0.8066736689019957,0.046008883372172585
0.1,1,T1ax+T2ax+FLAIRax+T2cor,1111,4,Pituitary adenoma,36,57,12412,0.67588092043139,0.012349609143034967
0.1,2,T2cor,0001,1,Cerebral infarction,0,339,12412,0.8126290239782717,0.15085208891481314
0.1,2,T2cor,0001,1,Cerebral hemorrhage,1,92,12412,0.7042993012422359,0.034408510129447394
0.1,2,T2cor,0001,1,Metastatic malignant neoplasm to brain,2,50,12412,0.7242857142857143,0.028473410461886804
0.1,2,T2cor,0001,1,Intracranial meningioma,3,148,12412,0.6649229341866328,0.023372618768627097
0.1,2,T2cor,0001,1,Demyelinating disease of central nervous system,4,294,12412,0.7795891421430761,0.18568710276227127
0.1,2,T2cor,0001,1,Herniation of nucleus pulposus,5,29,12412,0.551047459392326,0.00402089082207107
