seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
2,0.01,Cerebral edema,23,187,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Cerebral edema,23,187,T1ax+FLAIRax+T2cor,3,-0.011761369867485185,-0.014349388640287432,-0.03771382202868336,True
2,0.005,Mastoiditis,23,281,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Mastoiditis,23,281,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Mastoiditis,23,281,T1ax+T2ax+T2cor,3,-0.018502112660570957,-0.013071346542822066,-0.05406359804101599,True
2,0.005,Chronic mastoiditis,37,360,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Chronic mastoiditis,37,360,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Chronic mastoiditis,37,360,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.005,Ventriculomegaly,131,1204,T1ax+T2ax,2,-0.002545435785348149,0.0010069185854469473,-0.00864661648620398,True
2,0.01,Ventriculomegaly,131,1204,T2ax,1,-0.007798312792957872,-0.006742191926945208,-0.01785819085299791,True
2,0.02,Ventriculomegaly,131,1204,T2ax,1,-0.007798312792957872,-0.006742191926945208,-0.01785819085299791,True
2,0.005,Cerebellar degeneration,43,318,T1ax+FLAIRax,2,-0.004039616700249213,-0.018126975146082802,-0.055747456640240986,False
2,0.01,Cerebellar degeneration,43,318,T1ax+FLAIRax,2,-0.004039616700249213,-0.018126975146082802,-0.055747456640240986,False
2,0.02,Cerebellar degeneration,43,318,T1ax,1,-0.010742861247021146,-0.019204860284283053,-0.058578105723041854,True
2,0.005,Mega cisterna magna,23,225,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Mega cisterna magna,23,225,T2ax+FLAIRax+T2cor,3,-0.009692330523876122,0.007983081015126414,-0.014576883220179934,True
2,0.02,Mega cisterna magna,23,225,T2ax+T2cor,2,-0.019971447290631054,-0.02459355366818132,-0.07735030867954533,False
2,0.005,Structure of cave of septum pellucidum,22,238,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Structure of cave of septum pellucidum,22,238,T2ax+FLAIRax+T2cor,3,-0.006924294264263193,0.03449729788704781,0.0010929796334851862,True
2,0.02,Structure of cave of septum pellucidum,22,238,T2ax+FLAIRax+T2cor,3,-0.006924294264263193,0.03449729788704781,0.0010929796334851862,True
