finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral edema,23,0.8234256324382513,0.1705970283644516,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Mastoiditis,23,0.6420668620297829,0.053520268642776946,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Chronic mastoiditis,37,0.7535848348348348,0.06354512164955806,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Ventriculomegaly,131,0.8900615904631193,0.4906837817037294,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebellar degeneration,43,0.8987220654536019,0.3197102829502986,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Mega cisterna magna,23,0.7943304826266372,0.06300474810777151,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Structure of cave of septum pellucidum,22,0.6627303967510153,0.0465761339484012,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebral infarction,42,0.9162103865936618,0.34205339303825927,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Demyelinating disease of central nervous system,21,0.7787153322867608,0.13100239371383562,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Lacunar infarct,21,0.9147043432757719,0.18986554101037842,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Gliosis,451,0.7762455535241157,0.606638200707278,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral atrophy,213,0.9567919118084032,0.7850296317311921,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Encephalomalacia,25,0.8804132231404959,0.1599793768019246,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Arachnoid cyst,69,0.7311223649538867,0.13600707435088977,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Empty sella syndrome,82,0.7080251770259638,0.15796164147986122,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral edema,23,0.8265354942886192,0.17315386583400638,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Mastoiditis,23,0.6517552777943902,0.05048439307899323,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Chronic mastoiditis,37,0.7593468468468467,0.06218040338409758,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Ventriculomegaly,131,0.8910483989882376,0.482239695935815,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebellar degeneration,43,0.8957542732963576,0.3084106975714052,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Mega cisterna magna,23,0.7726212547096466,0.06021762384860783,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Structure of cave of septum pellucidum,22,0.6788191190253046,0.055222442090384495,uniform,0,availability,T1ax+T2ax+FLAIRax+T2cor,4,-1
Cerebral infarction,42,0.9073170731707316,0.3548264170015224,uniform,0,budget,all4,1,1
Demyelinating disease of central nervous system,21,0.7219060701203559,0.04494696351215222,uniform,0,budget,all4,1,1
Lacunar infarct,21,0.8854330193615908,0.15055719510642848,uniform,0,budget,all4,1,1
