finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Mastoiditis,22,0.6601190476190476,0.052345525577073455,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Ventriculomegaly,64,0.8938557330827067,0.40887697161747166,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebellar degeneration,39,0.85088949122971,0.28720099160097595,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Mega cisterna magna,22,0.6321969696969697,0.04293151440690203,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral infarction,26,0.8444516010305484,0.3136103273860752,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral hemorrhage,20,0.8712589073634205,0.1688057817900804,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Gliosis,284,0.7227508650519032,0.5660503683605136,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral atrophy,102,0.939499484004128,0.7182482581018177,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Arachnoid cyst,43,0.7134906437232018,0.12418263494861272,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Empty sella syndrome,45,0.6460220318237453,0.08435188156419689,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cyst of pineal gland,21,0.7667742483438084,0.06500553386014499,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral edema,43,0.9094755373825142,0.5021698579824466,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Mastoiditis,22,0.6852813852813854,0.053575006549319196,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Ventriculomegaly,64,0.895500469924812,0.4226259752044113,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebellar degeneration,39,0.8476804685796181,0.3021937793601895,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Mega cisterna magna,22,0.6141233766233766,0.03490820628695156,queryseq,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral infarction,26,0.8395288921604711,0.27757110090857195,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8725653206650832,0.1711786941322142,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7113163409522882,0.5576515769950405,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9182533539731682,0.6750051925025643,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6827384501803107,0.0821664978508956,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6239358085135318,0.0801378237737122,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7619613838400996,0.07201714917927156,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9109804923758412,0.5111927493284998,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6705627705627706,0.047851519497836864,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8779370300751881,0.40219486742642324,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8252796211483939,0.28854665392369716,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.5672077922077922,0.041059008713169254,queryseq,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8406790577843208,0.33245186064737586,queryseq,0,availability,T1ax+FLAIRax+SWIax,3,-1
Cerebral hemorrhage,20,0.8683491686460808,0.155215276299766,queryseq,0,availability,T1ax+FLAIRax+SWIax,3,-1
Gliosis,284,0.7143440226131879,0.5673000810587263,queryseq,0,availability,T1ax+FLAIRax+SWIax,3,-1
Cerebral atrophy,102,0.9307146542827658,0.7011165401893289,queryseq,0,availability,T1ax+FLAIRax+SWIax,3,-1
