seed,lattice,n_candidates,frac_patients,n_studies,rep,naive,crossfit,optimism
1,real,8,0.25,3101,4,0.7959419840877733,0.7561710685912189,0.039770915496554426
1,null,8,0.25,3101,4,0.5550055644283132,0.5222404626406277,0.032765101787685436
1,real,8,0.25,3104,5,0.7897152196261761,0.7517359798044079,0.03797923982176821
1,null,8,0.25,3104,5,0.5542171642857963,0.5116405963178865,0.04257656796790976
1,real,8,0.5,6210,0,0.7999732318835401,0.7839138296479529,0.016059402235587217
1,null,8,0.5,6210,0,0.5366065538426628,0.5043115740472931,0.03229497979536966
1,real,8,0.5,6218,1,0.7992942549541916,0.7867662045087841,0.012528050445407501
1,null,8,0.5,6218,1,0.5253624255173847,0.4868491148262906,0.03851331069109404
1,real,8,0.5,6205,2,0.7874055357505744,0.7660774157310112,0.02132812001956319
1,null,8,0.5,6205,2,0.5435002375748422,0.5111601096162098,0.03234012795863239
1,real,8,0.5,6216,3,0.7903883649852135,0.7631968721793458,0.027191492805867634
1,null,8,0.5,6216,3,0.5410215544696795,0.5121614946008369,0.028860059868842547
1,real,8,0.5,6210,4,0.8004383996173656,0.7867264298394098,0.013711969777955857
1,null,8,0.5,6210,4,0.5372382607667796,0.5085789928738947,0.028659267892884865
1,real,8,0.5,6222,5,0.7899063199093266,0.7705274306160073,0.019378889293319324
1,null,8,0.5,6222,5,0.536699843477023,0.5006017582782025,0.03609808519882052
1,real,8,1.0,12412,0,0.7879206360967619,0.7753593499627496,0.012561286134012306
1,null,8,1.0,12412,0,0.5254809880053241,0.5037309931424487,0.02174999486287532
1,real,8,1.0,12412,1,0.7909633173771279,0.7828413796456901,0.008121937731437767
1,null,8,1.0,12412,1,0.5224151882551413,0.4986582790453514,0.0237569092097899
1,real,8,1.0,12412,2,0.787542689521776,0.7773899093223229,0.010152780199453093
