finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Ventriculomegaly,64,0.8938948934837092,0.4243003560197794,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebellar degeneration,39,0.8469638907062965,0.32892202343172433,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Mega cisterna magna,22,0.5752705627705628,0.030523099947026427,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral infarction,26,0.8410931174089069,0.27614628232926747,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8757125890736343,0.1698410988956892,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7155258540864564,0.5578888650536414,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9185242518059855,0.6196014276454758,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6885027117585257,0.09249694569518521,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6398476812185503,0.08114784560110891,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7483154974237018,0.07570159934011907,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.906806371922651,0.5071224996658492,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6777597402597403,0.06616524363228286,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8862194548872181,0.4195537147587277,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8289559771941303,0.27700550356892906,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.5547077922077922,0.03198630050019042,uniform,0,availability,T1ax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8440375414059624,0.3074515816753158,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Cerebral hemorrhage,20,0.8754750593824228,0.16615900582199905,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Gliosis,284,0.717505726399922,0.5667796110420984,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Cerebral atrophy,102,0.9262254901960785,0.654508253495418,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Arachnoid cyst,43,0.6903484112786439,0.09199769004881643,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Empty sella syndrome,45,0.6261933904528764,0.08234467088298589,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
Cyst of pineal gland,21,0.7409546458297944,0.10716992104162165,uniform,0,availability,T1ax+FLAIRax+SWIax,3,-1
