mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
finding,0.05,0.0,1,0.7883365194049422,0.7989532515993208,0.7941201997275084,0.7841762946274377,0.7946845419892922,0.6565448297407059,0.7963639842395074,0.6516655702410143,0.5002903342247009,0.01494288444519043,0.01591745764017105,1.837837837837838
finding,0.05,0.02,0,0.7849778117250839,0.7993286629315949,0.7948017993869505,0.7846964031870891,0.7914032862330114,0.6466729147141519,0.7972362715646344,0.6512469349919263,0.4320722222328186,0.010270091705024242,0.029055152088403702,0.0
finding,0.05,0.02,1,0.7858263464938346,0.7965106071234201,0.792431078278071,0.7820482978391882,0.7818419056796919,0.5696969696969697,0.7914292180307664,0.6205873164636051,0.430118590593338,0.010494493879377842,0.029082152992486954,0.0
finding,0.1,0.0,0,0.7839402153720856,0.7983748735086259,0.7935131318466696,0.7826153636824793,0.7891636317602082,0.6593876913464541,0.7969997828373853,0.6708216182442986,0.5001787543296814,0.015436443500220776,0.016728665679693222,1.837837837837838
finding,0.1,0.0,1,0.7883365194049422,0.7989532515993208,0.7941201997275084,0.7841762946274377,0.7946845419892922,0.6565448297407059,0.7963639842395074,0.6516655702410143,0.5002903342247009,0.01494288444519043,0.01591745764017105,1.837837837837838
finding,0.1,0.02,0,0.7849778117250839,0.7993286629315949,0.7948017993869505,0.7846964031870891,0.7914032862330114,0.6466729147141519,0.7972362715646344,0.6512469349919263,0.4320722222328186,0.010270091705024242,0.029055152088403702,0.0
finding,0.1,0.02,1,0.7858263464938346,0.7965106071234201,0.792431078278071,0.7820482978391882,0.7818419056796919,0.5696969696969697,0.7914292180307664,0.6205873164636051,0.430118590593338,0.010494493879377842,0.029082152992486954,0.0
finding,0.25,0.0,0,0.7839402153720856,0.7983748735086259,0.7935131318466696,0.7826153636824793,0.7891636317602082,0.6593876913464541,0.7969997828373853,0.6708216182442986,0.5001787543296814,0.015436443500220776,0.016728665679693222,1.837837837837838
finding,0.25,0.0,1,0.7883365194049422,0.7989532515993208,0.7941201997275084,0.7841762946274377,0.7946845419892922,0.6565448297407059,0.7963639842395074,0.6516655702410143,0.5002903342247009,0.01494288444519043,0.01591745764017105,1.837837837837838
finding,0.25,0.02,0,0.7849778117250839,0.7993286629315949,0.7948017993869505,0.7846964031870891,0.7914032862330114,0.6466729147141519,0.7972362715646344,0.6512469349919263,0.4320722222328186,0.010270091705024242,0.029055152088403702,0.0
finding,0.25,0.02,1,0.7858263464938346,0.7965106071234201,0.792431078278071,0.7820482978391882,0.7818419056796919,0.5696969696969697,0.7914292180307664,0.6205873164636051,0.430118590593338,0.010494493879377842,0.029082152992486954,0.0
finding,1.0,0.0,0,0.7839402153720856,0.7983748735086259,0.7935131318466696,0.7826153636824793,0.7891636317602082,0.6593876913464541,0.7969997828373853,0.6708216182442986,0.5001787543296814,0.015436443500220776,0.016728665679693222,1.837837837837838
finding,1.0,0.0,1,0.7883365194049422,0.7989532515993208,0.7941201997275084,0.7841762946274377,0.7946845419892922,0.6565448297407059,0.7963639842395074,0.6516655702410143,0.5002903342247009,0.01494288444519043,0.01591745764017105,1.837837837837838
finding,1.0,0.02,0,0.7849778117250839,0.7993286629315949,0.7948017993869505,0.7846964031870891,0.7914032862330114,0.6466729147141519,0.7972362715646344,0.6512469349919263,0.4320722222328186,0.010270091705024242,0.029055152088403702,0.0
finding,1.0,0.02,1,0.7858263464938346,0.7965106071234201,0.792431078278071,0.7820482978391882,0.7818419056796919,0.5696969696969697,0.7914292180307664,0.6205873164636051,0.430118590593338,0.010494493879377842,0.029082152992486954,0.0
