C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,SWIax+T1sag,0000110,2,Arachnoid cyst,14,69,2512,0.662763174286782,0.06415631288436327
0.1,0,SWIax+T1sag,0000110,2,Empty sella syndrome,15,72,2512,0.5711520947176685,0.03452872833100945
0.1,0,SWIax+T1sag,0000110,2,Cyst of pineal gland,19,27,2512,0.6630598405246293,0.026221848005818817
0.1,0,SWIax+T1sag,0000110,2,Cerebral edema,22,197,2512,0.8134852155989957,0.3687266734213612
0.1,0,SWIax+T1sag,0000110,2,Mastoiditis,24,62,2512,0.5453324555628702,0.05779865206784386
0.1,0,SWIax+T1sag,0000110,2,Chronic mastoiditis,25,25,2512,0.657177322074789,0.018021368290039107
0.1,0,SWIax+T1sag,0000110,2,Ventriculomegaly,26,304,2512,0.8806269665331808,0.5149316915469846
0.1,0,SWIax+T1sag,0000110,2,Cerebellar degeneration,27,94,2512,0.789354662724601,0.1464111657201113
0.1,0,SWIax+T1sag,0000110,2,Mega cisterna magna,28,20,2512,0.5848113964686998,0.011786538062321569
0.1,0,SWIax+T1sag,0000110,2,Foraminal Spinal Stenosis,33,25,2512,0.6013510253317249,0.01484370687068814
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cerebral infarction,0,161,2512,0.7432888344063978,0.21442263508103226
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cerebral hemorrhage,1,127,2512,0.7849452780666567,0.22514672097739646
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Metastatic malignant neoplasm to brain,2,144,2512,0.771457981418919,0.21581915193847723
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Intracranial meningioma,3,62,2512,0.6979328505595787,0.05711287687784977
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Demyelinating disease of central nervous system,4,66,2512,0.6598466265269208,0.07036438491453971
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Herniation of nucleus pulposus,5,42,2512,0.6650665124349334,0.029400587752348675
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Spinal cord compression,6,23,2512,0.49871608992610966,0.010585133426284522
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Lacunar infarct,7,86,2512,0.7988985601717824,0.13094842989486521
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Silent micro-hemorrhage of brain,8,77,2512,0.646433238219686,0.08372908492844201
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Gliosis,11,1027,2512,0.7204390546162699,0.6329716031519723
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cerebral atrophy,12,324,2512,0.8843199155889587,0.598333115616132
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Encephalomalacia,13,84,2512,0.6735947673962501,0.1271443575439936
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Arachnoid cyst,14,69,2512,0.6534849644355064,0.07218401650424067
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Empty sella syndrome,15,72,2512,0.6889230418943533,0.05452063652359628
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cyst of pineal gland,19,27,2512,0.5912661152097772,0.019006885537573896
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cerebral edema,22,197,2512,0.8359474186227539,0.4719856565697157
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Mastoiditis,24,62,2512,0.672547728768927,0.07182787347812826
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Chronic mastoiditis,25,25,2512,0.6869963811821472,0.03174495853230572
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Ventriculomegaly,26,304,2512,0.8653163138825324,0.49741857152780394
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Cerebellar degeneration,27,94,2512,0.7560714851380603,0.12591343279874126
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Mega cisterna magna,28,20,2512,0.6288121990369181,0.012371226343089903
0.1,0,FLAIRsag+FLAIRcor,0001001,2,Foraminal Spinal Stenosis,33,25,2512,0.5913952553277041,0.024583551867167923
0.1,0,FLAIRsag+T1sag,0001010,2,Cerebral infarction,0,161,2512,0.7288321871755378,0.1756302026510261
0.1,0,FLAIRsag+T1sag,0001010,2,Cerebral hemorrhage,1,127,2512,0.755410290694795,0.21685596271185417
