finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral atrophy,102,0.93328173374613,0.6808514009929123,uniform,0,availability,T1ax+T2ax,2,-1
Arachnoid cyst,43,0.6900928528835506,0.09638136907805739,uniform,0,availability,T1ax+T2ax,2,-1
Empty sella syndrome,45,0.6748810009519924,0.10033106444105686,uniform,0,availability,T1ax+T2ax,2,-1
Cyst of pineal gland,21,0.7324047335937942,0.05249583822217941,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral edema,43,0.889570377942471,0.5176432555847296,uniform,0,availability,T1ax+T2ax,2,-1
Mastoiditis,22,0.6558982683982685,0.0731320332694193,uniform,0,availability,T1ax+T2ax,2,-1
Ventriculomegaly,64,0.898359179197995,0.4366218911930241,uniform,0,availability,T1ax+T2ax,2,-1
Cerebellar degeneration,39,0.8454061127208151,0.3200042981115996,uniform,0,availability,T1ax+T2ax,2,-1
Mega cisterna magna,22,0.5163961038961038,0.02952942505784727,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral infarction,26,0.8464298859035702,0.28912311728326995,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.888064133016627,0.16403920507167596,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7309505823870559,0.5794436578199895,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9327141382868938,0.6919772409722408,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.7170400658772752,0.10550966065985858,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6156670746634028,0.07798240267644929,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7080573013985618,0.053681518844925745,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9223102478916433,0.5255720959356607,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6839285714285714,0.07106342686108265,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8903704573934836,0.4576150362989638,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8484593575723588,0.3092085259703517,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.6556818181818181,0.06428783413367727,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8498803827751196,0.2709149686132627,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8741686460807601,0.17259707900894566,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7352636580730055,0.5698325225928236,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9310758513931888,0.6658203125760018,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.7165005537098561,0.10173740697214737,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6289133686930505,0.08156472121887406,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7209671026555687,0.04937054550739853,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9116335860521907,0.5127102681613875,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6767316017316016,0.06526377121472166,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8930333646616542,0.46438687373416027,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8429759790634639,0.3122962370809909,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.6009740259740259,0.049455093203712545,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8494203165255797,0.2664664030301979,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral hemorrhage,20,0.8728028503562946,0.15769431778344614,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Gliosis,284,0.7282640479555534,0.5776752024629099,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral atrophy,102,0.9353199174406605,0.6861937304585198,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Arachnoid cyst,43,0.710935059772269,0.10032839446199249,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Empty sella syndrome,45,0.6475724194206447,0.09094160062645135,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cyst of pineal gland,21,0.715927750410509,0.04864776479601672,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral edema,43,0.9122866797285402,0.5187996780174714,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Mastoiditis,22,0.6377705627705628,0.07385152758510134,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Ventriculomegaly,64,0.8991228070175439,0.4399057899766576,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebellar degeneration,39,0.8617004704489516,0.297781551300786,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Mega cisterna magna,22,0.6189935064935066,0.04430317681126779,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral infarction,26,0.8496043430253957,0.2890810920704006,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral hemorrhage,20,0.8750593824228029,0.17670807272913777,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Gliosis,284,0.7409291388469224,0.5827623745421979,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
